day,Calopeia
1,11
2,7
3,4
4,8
5,5
6,8
7,14
8,6
9,31
10,7
11,7
12,19
13,5
14,6
15,7
16,5
17,14
18,25
19,2
20,4
21,11
22,22
23,8
24,10
25,11
26,16
27,17
28,12
29,7
30,4
31,25
32,2
33,14
34,13
35,25
36,13
37,8
38,17
39,24
40,6
41,19
42,33
43,7
44,18
45,12
46,7
47,3
48,25
49,15
50,38
51,28
52,22
53,5
54,22
55,6
56,10
57,14
58,23
59,40
60,18
61,15
62,41
63,30
64,23
65,17
66,28
67,33
68,28
69,17
70,55
71,15
72,35
73,50
74,39
75,50
76,35
77,45
78,69
79,38
80,23
81,19
82,42
83,39
84,27
85,19
86,22
87,32
88,27
89,36
90,50
91,27
92,56
93,43
94,37
95,39
96,56
97,38
98,32
99,34
100,40
101,30
102,42
103,31
104,56
105,26
106,42
107,59
108,37
109,50
110,51
111,63
112,53
113,24
114,61
115,44
116,58
117,103
118,22
119,52
120,64
121,55
122,60
123,53
124,58
125,30
126,72
127,53
128,78
129,64
130,62
131,75
132,40
133,129
134,64
135,79
136,69
137,49
138,45
139,43
140,62
141,52
142,48
143,83
144,45
145,42
146,83
147,57
148,61
149,81
150,59
151,51
152,68
153,101
154,80
155,43
156,64
157,89
158,94
159,49
160,77
161,74
162,56
163,54
164,67
165,83
166,56
167,70
168,58
169,76
170,74
171,46
172,80
173,48
174,67
175,104
176,41
177,81
178,70
179,69
180,133
181,56
182,56
183,88
184,64
185,58
186,80
187,96
188,60
189,100
190,74
191,44
192,77
193,99
194,109
195,62
196,70
197,56
198,74
199,60
200,36
201,72
202,78
203,62
204,84
205,81
206,67
207,92
208,110
209,41
210,57
211,52
212,96
213,65
214,88
215,44
216,65
217,76
218,73
219,64
220,40
221,64
222,56
223,78
224,43
225,78
226,64
227,67
228,80
229,40
230,71
231,84
232,29
233,53
234,72
235,39
236,63
237,83
238,31
239,57
240,44
241,34
242,97
243,30
244,42
245,83
246,29
247,73
248,67
249,42
250,67
251,32
252,37
253,44
254,58
255,50
256,34
257,69
258,47
259,44
260,46
261,45
262,77
263,74
264,42
265,22
266,88
267,70
268,43
269,47
270,46
271,44
272,53
273,38
274,44
275,37
276,10
277,40
278,26
279,16
280,24
281,38
282,33
283,38
284,67
285,22
286,12
287,33
288,33
289,44
290,27
291,58
292,20
293,29
294,18
295,62
296,10
297,4
298,23
299,14
300,34
301,10
302,10
303,14
304,16
305,10
306,18
307,12
308,36
309,20
310,3
311,12
312,18
313,9
314,6
315,26
316,13
317,16
318,10
319,7
320,6
321,20
322,13
323,6
324,38
325,18
326,7
327,6
328,5
329,13
330,19
331,24
332,6
333,18
334,2
335,10
336,12
337,11
338,5
339,4
340,26
341,2
342,14
343,31
344,28
345,5
346,3
347,4
348,4
349,10
350,3
351,2
352,3
353,29
354,15
355,4
356,5
357,7
358,1
359,41
360,3
361,3
362,6
363,12
364,10
365,14
366,5
367,4
368,9
369,9
370,1
371,29
372,6
373,4
374,1
375,13
376,2
377,2
378,26
379,6
380,2
381,18
382,11
383,9
384,7
385,31
386,18
387,30
388,2
389,8
390,15
391,26
392,6
393,16
394,13
395,10
396,4
397,21
398,11
399,5
400,4
401,18
402,21
403,24
404,4
405,5
406,12
407,18
408,10
409,9
410,33
411,22
412,63
413,25
414,19
415,20
416,15
417,21
418,25
419,15
420,23
421,16
422,19
423,18
424,22
425,23
426,27
427,19
428,47
429,15
430,5
431,17
432,39
433,16
434,43
435,19
436,51
437,27
438,28
439,48
440,14
441,26
442,46
443,38
444,13
445,19
446,48
447,37
448,49
449,40
450,49
451,37
452,38
453,46
454,31
455,41
456,16
457,23
458,26
459,40
460,47
461,25
462,26
463,51
464,28
465,46
466,45
467,43
468,26
469,50
470,26
471,64
472,33
473,57
474,38
475,36
476,40
477,36
478,79
479,43
480,47
481,57
482,37
483,30
484,38
485,79
486,46
487,42
488,43
489,58
490,49
491,42
492,59
493,72
494,48
495,55
496,59
497,32
498,32
499,92
500,51
501,39
502,24
503,71
504,88
505,38
506,59
507,55
508,55
509,75
510,28
511,90
512,27
513,32
514,58
515,78
516,48
517,97
518,106
519,53
520,43
521,59
522,28
523,70
524,72
525,80
526,53
527,52
528,64
529,66
530,62
531,66
532,94
533,88
534,37
535,71
536,89
537,83
538,72
539,86
540,53
541,72
542,107
543,42
544,76
545,44
546,45
547,63
548,53
549,98
550,89
551,92
552,51
553,79
554,95
555,108
556,61
557,47
558,73
559,64
560,45
561,64
562,74
563,75
564,59
565,52
566,71
567,44
568,59
569,48
570,76
571,62
572,41
573,49
574,72
575,81
576,101
577,103
578,35
579,96
580,77
581,57
582,81
583,74
584,52
585,73
586,58
587,93
588,33
589,42
590,59
591,75
592,34
593,77
594,64
595,57
596,91
597,74
598,84
599,30
600,35
601,45
602,55
603,53
604,64
605,56
606,75
607,80
608,30
609,60
610,71
611,60
612,50
613,66
614,67
615,46
616,48
617,71
618,68
619,22
620,36
621,41
622,36
623,58
624,63
625,29
626,29
627,42
628,75
629,85
630,61
631,47
632,39
633,49
634,54
635,25
636,32
637,31
638,36
639,48
640,32
641,50
642,21
643,34
644,49
645,18
646,33
647,30
648,35
649,18
650,33
651,26
652,34
653,34
654,30
655,37
656,65
657,16
658,15
659,17
660,14
661,54
662,17
663,33
664,12
665,15
666,21
667,16
668,24
669,19
670,10
671,26
672,39
673,23
674,14
675,16
676,26
677,21
678,29
679,7
680,13
681,40
682,4
683,22
684,9
685,11
686,29
687,13
688,56
689,12
690,19
691,12
692,26
693,11
694,21
695,9
696,11
697,6
698,8
699,10
700,12
701,3
702,38
703,11
704,13
705,2
706,23
707,9
708,5
709,10
710,9
711,10
712,11
713,9
714,5
715,6
716,27
717,3
718,1
719,4
720,27
721,2
722,13
723,1
724,27
725,3
726,17
727,2
728,8
729,4
730,10
