day,Calopeia
1/1/70,11
1/2/70,7
1/3/70,4
1/4/70,8
1/5/70,5
1/6/70,8
1/7/70,14
1/8/70,6
1/9/70,31
1/10/70,7
1/11/70,7
1/12/70,19
1/13/70,5
1/14/70,6
1/15/70,7
1/16/70,5
1/17/70,14
1/18/70,25
1/19/70,2
1/20/70,4
1/21/70,11
1/22/70,22
1/23/70,8
1/24/70,10
1/25/70,11
1/26/70,16
1/27/70,17
1/28/70,12
1/29/70,7
1/30/70,4
1/31/70,25
2/1/70,2
2/2/70,14
2/3/70,13
2/4/70,25
2/5/70,13
2/6/70,8
2/7/70,17
2/8/70,24
2/9/70,6
2/10/70,19
2/11/70,33
2/12/70,7
2/13/70,18
2/14/70,12
2/15/70,7
2/16/70,3
2/17/70,25
2/18/70,15
2/19/70,38
2/20/70,28
2/21/70,22
2/22/70,5
2/23/70,22
2/24/70,6
2/25/70,10
2/26/70,14
2/27/70,23
2/28/70,40
3/1/70,18
3/2/70,15
3/3/70,41
3/4/70,30
3/5/70,23
3/6/70,17
3/7/70,28
3/8/70,33
3/9/70,28
3/10/70,17
3/11/70,55
3/12/70,15
3/13/70,35
3/14/70,50
3/15/70,39
3/16/70,50
3/17/70,35
3/18/70,45
3/19/70,69
3/20/70,38
3/21/70,23
3/22/70,19
3/23/70,42
3/24/70,39
3/25/70,27
3/26/70,19
3/27/70,22
3/28/70,32
3/29/70,27
3/30/70,36
3/31/70,50
4/1/70,27
4/2/70,56
4/3/70,43
4/4/70,37
4/5/70,39
4/6/70,56
4/7/70,38
4/8/70,32
4/9/70,34
4/10/70,40
4/11/70,30
4/12/70,42
4/13/70,31
4/14/70,56
4/15/70,26
4/16/70,42
4/17/70,59
4/18/70,37
4/19/70,50
4/20/70,51
4/21/70,63
4/22/70,53
4/23/70,24
4/24/70,61
4/25/70,44
4/26/70,58
4/27/70,103
4/28/70,22
4/29/70,52
4/30/70,64
5/1/70,55
5/2/70,60
5/3/70,53
5/4/70,58
5/5/70,30
5/6/70,72
5/7/70,53
5/8/70,78
5/9/70,64
5/10/70,62
5/11/70,75
5/12/70,40
5/13/70,129
5/14/70,64
5/15/70,79
5/16/70,69
5/17/70,49
5/18/70,45
